33.807932	34.130702	b
34.711690	34.942240	b
35.597004	35.845998	b 
36.454652	36.712868	b
37.386076	37.588961	b
38.262168	38.474275	b
39.064484	39.322701	b
39.940576	40.217237	b
40.890444	41.111773	b
41.711204	41.987865	b
42.587296	42.854735	b
43.472610	43.758493	b
44.404035	44.653029	b
45.252461	45.510677	b
46.119331	46.368325	b
47.004645	47.281305	b
47.908403	48.148175	b
48.747607	48.996601	b
49.586811	49.863471	b
50.582789	50.758008	b
51.440437	51.643322	b
52.279641	52.445637	b
53.174177	53.386284	b
54.151712	54.345374	b
55.009360	55.230688	b
55.913118	56.106780	b
56.816876	57.010538	b
57.702190	57.914296	b
58.486062	58.771944	b
59.389820	59.583482	b
60.321244	60.496462	b
61.169670	61.344888	b
61.990430	62.174870	b
62.866522	63.087851	b
63.807168	64.010053	b
64.674038	64.867701	b
65.513242	65.771459	b
66.417000	66.647551	b
