Time (s),Pressure (mmHg)
0.10,4.92
0.21,5.63
0.31,5.83
0.41,5.89
0.51,6.01
0.62,6.11
0.72,6.44
0.82,6.44
0.93,6.84
1.03,6.95
1.13,7.16
1.23,7.24
1.34,7.35
1.44,7.50
1.54,7.61
1.65,7.58
1.75,7.71
1.85,7.76
1.95,7.87
2.06,7.90
2.16,7.94
2.26,8.05
2.37,8.14
2.47,8.25
2.57,8.26
2.68,8.39
2.78,8.47
2.88,8.53
2.98,8.55
3.09,8.78
3.19,8.77
3.29,8.88
3.39,8.87
3.50,9.06
3.60,9.06
3.71,9.15
3.81,9.19
3.91,9.36
4.01,9.34
4.12,9.53
4.22,9.49
4.32,9.55
4.43,9.62
4.53,9.67
4.63,9.78
4.73,9.70
4.84,9.88
4.94,9.88
5.04,9.98
5.14,10.10
5.25,10.17
5.35,10.21
5.45,10.11
5.55,10.21
5.66,10.39
5.76,10.35
5.86,10.39
5.97,10.49
6.07,10.60
6.17,10.68
6.28,10.69
6.38,10.91
6.48,10.72
6.59,10.91
6.69,10.96
6.79,11.04
6.89,11.08
7.00,11.12
7.10,11.13
7.20,11.25
7.30,11.23
7.41,11.24
7.51,11.21
7.61,11.23
7.71,11.43
7.82,11.50
7.92,11.60
8.02,11.64
8.13,11.81
8.23,11.84
8.33,11.83
8.44,12.06
8.54,12.09
8.64,12.31
8.75,12.51
8.85,12.59
8.95,12.76
9.05,12.92
9.16,13.02
9.26,13.22
9.36,13.24
9.47,13.40
9.57,13.63
9.67,13.88
9.78,13.95
9.88,14.14
9.98,14.29
10.08,14.46
10.19,14.57
10.29,14.82
10.39,14.99
10.50,15.25
10.60,15.41
10.70,15.58
10.80,15.95
10.91,16.00
11.01,16.21
11.12,16.43
11.22,16.57
11.32,16.86
11.42,17.04
11.53,17.34
11.63,17.68
11.73,17.95
11.84,18.14
11.94,18.39
12.04,18.67
12.15,18.88
12.25,19.09
12.35,19.33
12.46,19.55
12.56,19.88
12.66,20.00
12.77,20.27
12.87,20.48
12.97,20.88
13.08,21.15
13.18,21.44
13.28,21.69
13.38,22.05
13.49,22.50
13.59,22.75
13.69,23.19
13.79,23.61
13.90,23.83
14.00,24.12
14.10,24.45
14.21,24.81
14.31,25.07
14.41,25.66
14.52,26.00
14.62,26.45
14.72,26.89
14.83,27.39
14.93,27.71
15.03,28.20
15.13,28.63
15.24,29.01
15.34,29.58
15.45,30.03
15.55,30.55
15.65,31.01
15.75,31.62
15.86,32.05
15.96,32.57
16.06,33.02
16.16,33.61
16.27,34.34
16.37,34.96
16.47,35.42
16.58,36.10
16.68,36.54
16.78,37.04
16.89,37.68
16.99,38.24
17.09,38.77
17.20,39.72
17.30,40.27
17.40,40.86
17.51,41.65
17.61,42.16
17.71,42.83
17.82,43.57
17.92,44.22
18.02,44.83
18.12,45.66
18.23,46.44
18.33,47.02
18.43,47.74
18.54,48.60
18.64,49.21
18.74,49.89
18.84,50.64
18.95,51.41
19.05,52.25
19.15,52.89
19.25,53.93
19.36,54.55
19.46,55.49
19.56,55.98
19.66,56.79
19.77,57.67
19.87,58.39
19.98,59.08
20.08,60.15
20.18,61.24
20.28,62.07
20.39,62.85
20.49,63.67
20.59,64.62
20.70,65.30
20.80,66.09
20.90,66.98
21.01,67.84
21.11,68.71
21.21,70.07
21.32,70.83
21.42,71.64
21.52,72.63
21.62,72.33
21.73,71.70
21.84,70.94
21.95,74.34
22.05,75.21
22.15,77.02
22.26,78.31
22.36,78.76
22.46,79.82
22.57,80.72
22.67,81.21
22.77,81.91
22.87,82.66
22.98,83.31
23.08,84.02
23.18,86.08
23.29,87.74
23.39,88.07
23.49,88.61
23.60,89.28
23.70,89.88
23.80,90.26
23.91,91.04
24.01,92.16
24.11,92.92
24.22,94.94
24.32,96.61
24.42,96.79
24.53,96.94
24.63,97.60
24.73,98.43
24.83,99.29
24.94,100.17
25.04,100.86
25.14,102.69
25.25,104.31
25.35,105.14
25.45,105.23
25.56,105.81
25.66,106.87
25.76,107.68
25.86,108.13
25.97,108.99
26.07,110.02
26.18,112.01
26.28,112.93
26.38,113.27
26.48,113.97
26.59,114.93
26.69,115.75
26.79,116.56
26.90,117.52
27.00,118.24
27.10,118.87
27.21,120.61
27.31,120.94
27.41,121.64
27.52,122.65
27.62,123.21
27.72,123.67
27.82,124.66
27.93,125.44
28.03,126.52
28.13,127.71
28.24,128.29
28.34,129.02
28.44,129.89
28.54,130.85
28.65,131.52
28.75,132.49
28.85,132.57
28.96,132.07
29.06,131.47
29.16,130.98
